t,x,u
5.613835661956944056e-01,-9.524939345611420638e-01,5.507663532120760097e-02
7.693612115237095095e-01,3.368402128594034650e-01,-5.876554084231307984e-01
8.025818437138297901e-01,-5.552229575836491460e-01,3.709777165390682474e-01
3.267065595996667682e-01,6.032179080069648425e-01,-5.968211277476136445e-01
7.943672872800731088e-01,9.978576837334758309e-01,-2.801621249351766030e-04
8.155519313776347090e-01,8.474919313673181520e-01,-1.404951347308015241e-01
5.087953664601043702e-01,6.385331675569367871e-01,-4.323051507317832165e-01
6.043250523552193831e-01,7.993851821192621276e-01,-2.343180145628952216e-01
7.100189780434096321e-02,-1.823980273299683486e-01,6.361215652634245599e-01
7.040137419398474483e-01,-6.619667479574571356e-01,3.295589368904448535e-01
5.239796782850740797e-01,-5.388782412150459056e-01,5.422628723178157806e-01
4.894010800410674156e-01,-1.873714510563238012e-01,8.601506803045911864e-01
1.140239063179867562e-01,7.915978447706906174e-01,-4.812536405228897141e-01
3.067297347214239522e-01,-2.517014035976963271e-01,8.784978883130498684e-01
3.463938480608105275e-01,2.303051255801731312e-01,-9.175341868790681810e-01
6.495592393745202031e-01,1.140873370861443803e-01,-8.336696349562208175e-01
2.074304388334530236e-01,9.253848522584955383e-01,-1.496140886845991058e-01
5.315616163400184169e-01,6.778391655508098079e-01,-3.814493986316240814e-01
5.558326916985717459e-01,5.909770382668821931e-02,-8.866415609988659297e-01
1.004553293080862053e-01,-6.993527311974432337e-01,6.202822044343837549e-01
6.117630950715560179e-01,-1.583585948904306928e-01,8.464211917508945859e-01
3.826423353694446972e-01,4.304741058627852279e-01,-7.319338634305644353e-01
3.105979628178575647e-01,6.384625072675125246e-01,-5.541764473232820842e-01
2.598340952720338271e-01,3.157301064920670086e-02,-1.401973089492878077e-01
1.363970658698926419e-01,9.612176510101360094e-01,-8.526184604815775780e-02
5.427749388320708412e-01,7.583611839171953140e-01,-2.834288849774561636e-01
9.339916487520175670e-01,-8.360495649796086948e-01,1.453068246448710465e-01
9.183129941351511061e-01,9.073419245216505225e-01,-8.018298100021337138e-02
1.817732432186669467e-01,1.717402274750525759e-01,-6.726098995920628543e-01
1.944058552471239487e-02,4.911282314298686114e-01,-8.839859060139638736e-01
